126.22,423.95,115.33,429.07,114.49,433.45,129.61,444.12
124.54,457.83,116.32,461.44,116.11,468.21,125.74,469.84
132.59,494.99,118.95,495.56,117.38,507.51,135.24,517.26
136.20,530.36,115.90,524.60,117.21,546.57,137.06,552.72
215.31,619.09,176.19,608.23,177.11,639.09,217.77,644.62
218.86,662.60,180.75,652.47,181.96,678.60,221.02,688.52
223.34,702.91,183.04,692.89,186.23,717.31,226.61,730.81
225.50,754.20,185.15,739.99,187.71,766.77,227.01,779.03
230.69,797.17,190.33,784.40,192.07,810.08,230.93,822.24
231.80,832.63,192.11,819.39,195.97,843.04,231.94,858.85
