432.63,26.00,383.38,41.06,382.56,89.47,431.98,74.05
428.37,97.43,382.17,106.73,379.69,153.71,427.45,145.66
429.87,162.23,382.92,169.57,381.57,217.29,429.78,209.77
430.30,223.77,384.40,233.56,382.37,275.21,431.13,275.34
426.26,286.76,382.87,292.46,380.65,339.08,427.98,336.36
425.81,346.64,379.00,349.11,376.68,395.46,428.59,398.15
421.82,409.75,376.30,409.57,373.78,450.56,424.72,455.45
541.81,486.36,470.76,485.91,471.53,533.15,543.23,533.52
537.27,569.65,465.87,558.62,465.75,608.81,538.69,616.04
538.07,641.71,468.05,627.89,467.69,677.47,537.73,687.13
532.26,709.07,466.49,695.81,464.84,739.95,533.52,755.73
526.99,787.94,462.01,772.06,460.84,817.85,529.13,834.38
527.33,860.34,461.59,842.80,461.06,888.10,528.23,905.09
525.12,914.01,461.21,900.24,460.17,940.88,526.57,959.01
519.22,984.24,456.68,961.58,455.98,1004.95,522.10,1026.67
518.71,1057.50,458.76,1033.21,456.92,1080.19,521.81,1103.27
519.59,1115.71,456.66,1087.61,455.04,1130.74,520.98,1156.72
516.12,1175.21,452.76,1146.59,450.10,1189.24,513.83,1218.83
514.77,1242.86,453.58,1217.42,451.09,1261.37,514.69,1280.50
