91.11,25.40,41.61,43.28,44.12,92.27,95.78,68.02
101.23,107.61,46.19,119.64,51.78,170.73,104.91,156.14
112.22,181.70,57.25,193.08,62.18,238.94,116.02,229.76
118.32,254.07,65.76,266.31,71.02,309.55,123.44,302.78
124.68,339.41,72.68,341.83,79.45,386.19,128.41,385.56
136.83,415.26,84.56,416.60,91.09,459.64,140.71,462.25
143.39,471.05,91.59,473.04,96.82,513.16,147.91,517.14
150.00,542.30,96.97,539.34,102.61,582.50,154.09,585.33
161.40,624.46,109.61,613.66,114.19,654.09,164.34,665.17
168.10,678.14,115.11,669.05,119.48,708.33,171.63,718.38
170.94,742.25,121.01,729.90,124.65,767.41,173.60,780.39
180.46,813.00,130.74,798.60,135.49,836.05,182.66,852.16
