240.21,23.07,214.99,28.28,215.38,49.07,240.60,43.86
235.52,65.30,211.78,69.37,211.86,91.25,235.60,87.18
237.93,109.23,214.11,112.77,213.90,134.29,237.72,130.74
239.01,151.41,214.96,154.55,215.14,175.69,239.18,172.55
240.22,193.28,215.88,195.93,216.42,214.55,240.76,211.90
142.07,377.55,133.54,378.80,134.33,392.33,142.86,391.08
138.61,421.78,124.42,422.19,125.05,443.17,139.23,442.76
145.26,485.28,130.64,483.07,130.54,504.12,145.16,506.33
141.97,538.52,128.54,535.12,128.37,554.49,141.80,557.89
146.15,606.16,132.59,602.99,133.12,622.93,146.68,626.10
144.92,657.71,131.29,651.98,131.86,671.69,145.48,677.42
148.80,719.91,134.10,714.14,134.25,734.51,148.95,740.29
148.80,770.23,135.72,765.95,136.30,785.60,149.38,789.88
149.57,818.11,137.77,813.29,138.26,831.55,150.06,836.37
151.47,867.74,139.54,861.63,140.44,878.18,152.37,884.30
149.67,912.21,137.75,905.24,138.91,923.33,150.83,930.29
151.97,957.69,139.69,950.49,139.82,966.42,152.10,973.62
153.59,1001.40,139.29,992.98,138.79,1011.90,153.09,1020.32
