95.28,144.01,76.12,147.06,77.11,166.65,96.27,163.60
98.81,182.54,79.27,184.96,79.79,204.30,99.33,201.87
99.81,219.45,80.44,221.45,81.27,240.54,100.64,238.54
103.34,258.05,83.15,258.98,84.03,277.51,104.22,276.58
105.25,293.89,85.26,294.33,86.37,312.47,106.36,312.04
107.24,329.58,87.38,329.43,88.28,347.23,108.14,347.38
108.39,364.89,88.77,364.04,89.96,381.56,109.58,382.40
110.03,400.44,90.67,398.81,91.39,415.93,110.76,417.55
111.59,434.86,92.14,433.27,92.69,449.84,112.15,451.43
112.69,468.62,93.44,466.97,93.94,484.51,113.20,486.17
113.61,505.49,95.20,503.18,96.08,520.19,114.49,522.51
115.43,538.13,96.77,535.62,97.70,552.20,116.36,554.70
116.95,571.75,98.48,568.96,99.15,585.81,117.62,588.59
117.81,605.64,99.93,602.35,100.36,618.75,118.24,622.04
119.16,639.33,101.01,635.08,101.45,650.54,119.59,654.80
120.23,671.48,102.23,667.24,102.55,683.03,120.55,687.28
120.87,704.11,103.44,699.52,103.86,715.36,121.28,719.95
121.86,736.68,104.37,731.10,104.67,746.19,122.16,751.77
122.92,768.40,105.77,762.44,106.08,777.68,123.24,783.64
123.68,800.54,106.44,794.14,106.20,809.67,123.44,816.07
